PLAY_DATE,PLAY_NAME,THEATER_NAME,PLAY_CATEGORY,IS_GUEST_PLAY,PLAY_TYPE,LONGITUDE,LATITUDE,NUMBER_OF_AUDIENCE
2017-10-06 17:30:00 +0000 +0000,ON İKİ ÖFKELİ ADAM,Gaziosmanpaşa Sahnesi,Yetişkin,0,Yabancı,28.916482,41.057846,223
2017-10-07 12:00:00 +0000 +0000,ON İKİ ÖFKELİ ADAM,Gaziosmanpaşa Sahnesi,Yetişkin,0,Yabancı,28.916482,41.057846,237
2017-10-07 17:30:00 +0000 +0000,ON İKİ ÖFKELİ ADAM,Gaziosmanpaşa Sahnesi,Yetişkin,0,Yabancı,28.916482,41.057846,234
2017-10-12 17:30:00 +0000 +0000,GEÇ KALANLAR,Gaziosmanpaşa Sahnesi,Yetişkin,0,Yerli,28.916482,41.057846,231
2017-10-13 17:30:00 +0000 +0000,GEÇ KALANLAR,Gaziosmanpaşa Sahnesi,Yetişkin,0,Yerli,28.916482,41.057846,178
2017-10-14 12:00:00 +0000 +0000,GEÇ KALANLAR,Gaziosmanpaşa Sahnesi,Yetişkin,0,Yerli,28.916482,41.057846,230
2017-10-14 17:30:00 +0000 +0000,GEÇ KALANLAR,Gaziosmanpaşa Sahnesi,Yetişkin,0,Yerli,28.916482,41.057846,202
2017-10-19 17:30:00 +0000 +0000,YANGIN YERİNDE ORKİDELER,Gaziosmanpaşa Sahnesi,Yetişkin,0,Yerli,28.916482,41.057846,187
2017-10-20 17:30:00 +0000 +0000,YANGIN YERİNDE ORKİDELER,Gaziosmanpaşa Sahnesi,Yetişkin,0,Yerli,28.916482,41.057846,120
2017-10-21 12:00:00 +0000 +0000,YANGIN YERİNDE ORKİDELER,Gaziosmanpaşa Sahnesi,Yetişkin,0,Yerli,28.916482,41.057846,175
2017-10-21 17:30:00 +0000 +0000,YANGIN YERİNDE ORKİDELER,Gaziosmanpaşa Sahnesi,Yetişkin,0,Yerli,28.916482,41.057846,135
2017-10-26 17:30:00 +0000 +0000,ŞAHANE ZÜĞÜRTLER,Gaziosmanpaşa Sahnesi,Yetişkin,0,Yabancı,28.916482,41.057846,235
2017-10-27 17:30:00 +0000 +0000,ŞAHANE ZÜĞÜRTLER,Gaziosmanpaşa Sahnesi,Yetişkin,0,Yabancı,28.916482,41.057846,224
2017-10-28 12:00:00 +0000 +0000,ŞAHANE ZÜĞÜRTLER,Gaziosmanpaşa Sahnesi,Yetişkin,0,Yabancı,28.916482,41.057846,239
2017-10-28 17:30:00 +0000 +0000,ŞAHANE ZÜĞÜRTLER,Gaziosmanpaşa Sahnesi,Yetişkin,0,Yabancı,28.916482,41.057846,230
2017-11-17 17:30:00 +0000 +0000,OYUNUN OYUNU,Harbiye Muhsin Ertuğrul Sahnesi,Yetişkin,0,Yabancı,28.988829,41.046788,594
2017-11-18 17:30:00 +0000 +0000,OYUNUN OYUNU,Harbiye Muhsin Ertuğrul Sahnesi,Yetişkin,0,Yabancı,28.988829,41.046788,591
2017-11-08 12:00:00 +0000 +0000,MARTI,Harbiye Muhsin Ertuğrul Sahnesi,Yetişkin,0,Yabancı,28.988829,41.046788,410
2017-11-08 17:30:00 +0000 +0000,MARTI,Harbiye Muhsin Ertuğrul Sahnesi,Yetişkin,0,Yabancı,28.988829,41.046788,595
2017-11-09 17:30:00 +0000 +0000,MARTI,Harbiye Muhsin Ertuğrul Sahnesi,Yetişkin,0,Yabancı,28.988829,41.046788,593
2017-11-11 12:00:00 +0000 +0000,MARTI,Harbiye Muhsin Ertuğrul Sahnesi,Yetişkin,0,Yabancı,28.988829,41.046788,588
2017-11-15 12:00:00 +0000 +0000,OYUNUN OYUNU,Harbiye Muhsin Ertuğrul Sahnesi,Yetişkin,0,Yabancı,28.988829,41.046788,441
2017-11-15 17:30:00 +0000 +0000,OYUNUN OYUNU,Harbiye Muhsin Ertuğrul Sahnesi,Yetişkin,0,Yabancı,28.988829,41.046788,597
2017-11-16 17:30:00 +0000 +0000,OYUNUN OYUNU,Harbiye Muhsin Ertuğrul Sahnesi,Yetişkin,0,Yabancı,28.988829,41.046788,594
2017-11-18 12:00:00 +0000 +0000,OYUNUN OYUNU,Harbiye Muhsin Ertuğrul Sahnesi,Yetişkin,0,Yabancı,28.988829,41.046788,595
2017-11-22 12:00:00 +0000 +0000,BAK BİZİM ŞARKIMIZI ÇALIYORLAR,Harbiye Muhsin Ertuğrul Sahnesi,Müzikal,0,Yabancı,28.988829,41.046788,582
2017-11-22 17:30:00 +0000 +0000,BAK BİZİM ŞARKIMIZI ÇALIYORLAR,Harbiye Muhsin Ertuğrul Sahnesi,Müzikal,0,Yabancı,28.988829,41.046788,584
2017-11-23 17:30:00 +0000 +0000,BAK BİZİM ŞARKIMIZI ÇALIYORLAR,Harbiye Muhsin Ertuğrul Sahnesi,Müzikal,0,Yabancı,28.988829,41.046788,589
2017-11-24 17:30:00 +0000 +0000,BAK BİZİM ŞARKIMIZI ÇALIYORLAR,Harbiye Muhsin Ertuğrul Sahnesi,Müzikal,0,Yabancı,28.988829,41.046788,590
2017-11-25 12:00:00 +0000 +0000,BAK BİZİM ŞARKIMIZI ÇALIYORLAR,Harbiye Muhsin Ertuğrul Sahnesi,Müzikal,0,Yabancı,28.988829,41.046788,596
2017-11-25 17:30:00 +0000 +0000,BAK BİZİM ŞARKIMIZI ÇALIYORLAR,Harbiye Muhsin Ertuğrul Sahnesi,Müzikal,0,Yabancı,28.988829,41.046788,602
